datetime,open,high,low,close,volume
2022-01-01 00:00:00,47163.8291732013,47418.601673055724,46909.05667334689,47163.8291732013,46082.00042194184
2022-01-01 01:00:00,47163.8291732013,47212.115986207245,46273.04070349532,46742.57834485128,8306.784895551698
2022-01-01 02:00:00,46742.57834485128,47342.12931300048,46902.912936267734,47122.521124634106,57520.285838230375
2022-01-01 03:00:00,47122.521124634106,47295.67782283828,47070.295269519964,47182.98654617913,15912.324883663861
2022-01-01 04:00:00,47182.98654617913,47288.483807297765,47083.372227899956,47185.92801759886,34877.464362904844
2022-01-01 05:00:00,47185.92801759886,47089.67731104707,46658.06922919284,46873.873270119955,14010.04157365089
2022-01-01 06:00:00,46873.873270119955,46682.62257378367,46622.42331154044,46652.52294266206,55005.70617863189
2022-01-01 07:00:00,46652.52294266206,46890.06207322864,46852.783576692615,46871.42282496063,4677.227616725303
2022-01-01 08:00:00,46871.42282496063,47018.57652588391,46559.65789941406,46789.117212648984,22017.38762802567
2022-01-01 09:00:00,46789.117212648984,46572.04412419623,46524.31295296526,46548.178538580745,18228.344919925043
2022-01-01 10:00:00,46548.178538580745,46280.65086825318,46142.69492344829,46211.67289585073,5739.76653439633
2022-01-01 11:00:00,46211.67289585073,46543.974540042465,46339.332837838556,46441.65368894051,31225.181636007954
2022-01-01 12:00:00,46441.65368894051,46669.00025119098,46150.322873548415,46409.66156236969,71996.66641384012
2022-01-01 13:00:00,46409.66156236969,46531.54037000104,46334.20443554793,46432.87240277448,31746.843011809175
2022-01-01 14:00:00,46432.87240277448,47111.17479767034,45924.384979393435,46517.779888531884,80836.76499118036
2022-01-01 15:00:00,46517.779888531884,46651.04108794256,46545.75833981068,46598.39971387662,7985.078692877375
2022-01-01 16:00:00,46598.39971387662,47081.57693050961,47027.35113060168,47054.464030555646,25020.246472697007
2022-01-01 17:00:00,47054.464030555646,46975.29343998738,46694.91581232039,46835.10462615388,12637.268306012078
2022-01-01 18:00:00,46835.10462615388,46869.28996980669,46215.82954898077,46542.55975939373,8763.548940359598
2022-01-01 19:00:00,46542.55975939373,46552.717409434765,46115.26235050418,46333.98987996947,20986.994743955212
2022-01-01 20:00:00,46333.98987996947,46200.023327356714,46152.63879213856,46176.33105974764,138947.99746509624
2022-01-01 21:00:00,46176.33105974764,46423.339302400134,45799.926662892765,46111.63298264645,18505.985343820175
2022-01-01 22:00:00,46111.63298264645,46067.75734807871,45919.01549535374,45993.386421716226,121795.31596619355
2022-01-01 23:00:00,45993.386421716226,46309.31030530493,46121.324916055004,46215.317610679966,6347.101227088835
2022-01-02 00:00:00,46215.317610679966,46218.42787542471,45930.24257615313,46074.33522578892,15668.216333595981
2022-01-02 01:00:00,46074.33522578892,46368.689940713855,45829.8198906695,46099.25491569168,6145.072678754778
2022-01-02 02:00:00,46099.25491569168,46466.400750064015,46166.00414121962,46316.20244564182,13760.872013811228
2022-01-02 03:00:00,46316.20244564182,46221.59174434478,46023.86539755478,46122.72857094978,2262.4087176792837
2022-01-02 04:00:00,46122.72857094978,46382.07010734671,45926.48903699837,46154.27957217254,80194.14353896723
2022-01-02 05:00:00,46154.27957217254,46427.01003251087,46347.61763668991,46387.31383460039,2121.275706082702
2022-01-02 06:00:00,46387.31383460039,46303.740978620874,46176.40945860282,46240.07521861185,3460.3878219796493
2022-01-02 07:00:00,46240.07521861185,46183.034161837255,46176.59506075949,46179.814611298374,49116.5994983524
2022-01-02 08:00:00,46179.814611298374,46176.22136108797,46053.2511624511,46114.73626176954,20451.82307029465
2022-01-02 09:00:00,46114.73626176954,46508.66052096119,46314.69633131115,46411.67842613617,82609.34452022718
2022-01-02 10:00:00,46411.67842613617,46320.58298645559,45864.20847720048,46092.39573182804,6935.598169179917
2022-01-02 11:00:00,46092.39573182804,46087.90171576896,45919.98425022079,46003.94298299488,18813.883885442152
2022-01-02 12:00:00,46003.94298299488,45938.45730670038,45772.323075336535,45855.39019101846,77345.2225804594
